Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,15,Sat,2018-11-24,18:00 (11:00),Lugo,2–1,Córdoba,2639,Estadio Anxo Carro,Dámaso Arcediano,Match Report,
Regular Season,15,Sat,2018-11-24,18:00 (11:00),La Coruña,2–0,Osasuna,13511,Estadio Municipal de Riazor,Aitor Gorostegui,Match Report,
Regular Season,15,Sat,2018-11-24,20:30 (13:30),Cádiz,4–1,Las Palmas,12517,Estadio Ramón de Carranza,Oliver De La Fuente,Match Report,
Regular Season,15,Sun,2018-11-25,12:00 (05:00),Mallorca,1–0,Numancia,7328,Iberostar Estadi,Abraham Domínguez,Match Report,
Regular Season,15,Sun,2018-11-25,16:00 (09:00),Extremadura,1–0,Málaga,7707,Estadio Francisco de la Hera,Javier Villanueva,Match Report,
Regular Season,15,Sun,2018-11-25,18:00 (11:00),Oviedo,3–0,Reus,15017,Estadio Nuevo Carlos Tartiere,Jorge Figueroa,Match Report,
Regular Season,15,Sun,2018-11-25,18:00 (11:00),Elche,0–1,Albacete,12867,Estadio Manuel Martínez Valero,Luis Milla,Match Report,
Regular Season,15,Sun,2018-11-25,19:00 (13:00),Tenerife,2–1,Majadahonda,11775,Estadio Heliodoro Rodríguez Lopéz,Isidro Díaz de Mera,Match Report,
Regular Season,15,Sun,2018-11-25,20:30 (13:30),Alcorcón,2–0,Zaragoza,2908,Estadio Santo Domingo,Gorka Sagues,Match Report,
,,,,,,,,,,,,
Regular Season,16,Fri,2018-11-30,21:00 (14:00),Zaragoza,0–1,Cádiz,17950,Estadio de la Romareda,Víctor Areces,Match Report,
Regular Season,16,Sat,2018-12-01,16:00 (09:00),Córdoba,1–1,Elche,9875,Estadio Nuevo Arcángel,José López,Match Report,
Regular Season,16,Sat,2018-12-01,18:00 (11:00),Málaga,0–1,Granada,22988,Estadio La Rosaleda,César Soto,Match Report,
Regular Season,16,Sat,2018-12-01,18:00 (11:00),Reus,0–2,Mallorca,2619,Estadio Camp Nou Municipal,Iñaki Bikandi,Match Report,
Regular Season,16,Sat,2018-12-01,20:00 (13:00),Almería,1–1,Extremadura,6232,Estadio de los Juegos Mediterráneos,David Pérez,Match Report,
Regular Season,16,Sat,2018-12-01,20:30 (13:30),Sporting Gijón,2–1,Tenerife,19035,Estadio Municipal El Molinón,Rubén Ávalos,Match Report,
Regular Season,16,Sun,2018-12-02,12:00 (05:00),Majadahonda,0–0,La Coruña,2812,Miniestadio Cerro del Espino,Daniel Trujillo,Match Report,
