Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
12,Sat,2019-10-19,20:00 (13:00),Extremadura,0–3,Rayo Vallecano,6919,Estadio Francisco de la Hera,Dámaso Arcediano,Match Report,
12,Sun,2019-10-20,12:00 (05:00),Fuenlabrada,0–1,Albacete,4973,Estadio Fernando Torres,Jon González,Match Report,
12,Sun,2019-10-20,16:00 (09:00),La Coruña,0–2,Málaga,14238,Estadio Municipal de Riazor,Oliver De La Fuente,Match Report,
12,Sun,2019-10-20,17:00 (11:00),Tenerife,3–3,Santander,8526,Estadio Heliodoro Rodríguez Lopéz,Santiago Varón,Match Report,
12,Sun,2019-10-20,18:00 (11:00),Oviedo,4–2,Girona,11630,Estadio Nuevo Carlos Tartiere,Iñaki Bikandi,Match Report,
12,Sun,2019-10-20,21:00 (14:00),Zaragoza,1–2,CD Mirandés,18714,Estadio de la Romareda,Daniel Trujillo,Match Report,
,,,,,,,,,,,
13,Fri,2019-10-25,21:00 (14:00),Albacete,1–0,Cádiz,8857,Estadio Carlos Belmonte,José López,Match Report,
13,Sat,2019-10-26,16:00 (09:00),Rayo Vallecano,1–3,Ponferradina,9538,Estadio del Rayo Vallecano,Alejandro Muñíz,Match Report,
13,Sat,2019-10-26,18:00 (11:00),Santander,1–1,La Coruña,14104,Campos de Sport de El Sardinero,Rubén Ávalos,Match Report,
13,Sat,2019-10-26,18:00 (11:00),CD Mirandés,0–0,Tenerife,3055,Estadio Municipal de Anduva,Daniel Ocón,Match Report,
13,Sat,2019-10-26,20:00 (13:00),Numancia,3–1,Lugo,2953,Nuevo Estadio Los Pajaritos,Álvaro Moreno,Match Report,
13,Sat,2019-10-26,20:00 (13:00),Málaga,2–1,Oviedo,16085,Estadio La Rosaleda,Iosu Galech,Match Report,
13,Sun,2019-10-27,12:00 (06:00),Girona,0–0,Alcorcón,8024,Estadi Municipal de Montilivi,Luis Milla,Match Report,
13,Sun,2019-10-27,16:00 (10:00),Sporting Gijón,4–0,Zaragoza,19478,Estadio Municipal El Molinón,Jorge Figueroa,Match Report,
13,Sun,2019-10-27,17:00 (12:00),Las Palmas,1–3,Fuenlabrada,13136,Estadio de Gran Canaria,Víctor Areces,Match Report,
13,Sun,2019-10-27,18:00 (12:00),Huesca,2–0,Elche,6478,Estadio El Alcoraz,Juan Pulido,Match Report,
13,Sun,2019-10-27,21:00 (15:00),Almería,3–2,Extremadura,8943,Estadio de los Juegos Mediterráneos,Javier Villanueva,Match Report,
,,,,,,,,,,,
14,Fri,2019-11-01,12:00 (06:00),Numancia,1–0,Albacete,3253,Nuevo Estadio Los Pajaritos,Miguel Ángel Ortiz Arias,Match Report,
14,Fri,2019-11-01,16:00 (10:00),Cádiz,3–1,Sporting Gijón,17157,Estadio Ramón de Carranza,Gorka Sagues,Match Report,
14,Fri,2019-11-01,18:30 (12:30),Ponferradina,1–0,Málaga,5766,Estadio El Toralín,Santiago Varón,Match Report,
14,Fri,2019-11-01,21:00 (15:00),Oviedo,0–0,Almería,11350,Estadio Nuevo Carlos Tartiere,Dámaso Arcediano,Match Report,
14,Sat,2019-11-02,16:00 (10:00),Fuenlabrada,1–1,La Coruña,5083,Estadio Fernando Torres,Iñaki Bikandi,Match Report,
14,Sat,2019-11-02,18:00 (12:00),Alcorcón,1–0,Santander,2816,Estadio Santo Domingo,Saúl Ais,Match Report,
14,Sat,2019-11-02,19:00 (14:00),Tenerife,0–0,Huesca,9686,Estadio Heliodoro Rodríguez Lopéz,Oliver De La Fuente,Match Report,
14,Sun,2019-11-03,12:00 (05:00),Extremadura,1–3,Girona,7417,Estadio Francisco de la Hera,Aitor Gorostegui,Match Report,
14,Sun,2019-11-03,16:00 (09:00),Lugo,1–0,Rayo Vallecano,2816,Estadio Anxo Carro,Daniel Trujillo,Match Report,
14,Sun,2019-11-03,18:30 (11:30),Zaragoza,3–0,Las Palmas,22708,Estadio de la Romareda,Isidro Díaz de Mera,Match Report,
14,Sun,2019-11-03,20:00 (13:00),Elche,4–2,CD Mirandés,8567,Estadio Manuel Martínez Valero,Jon González,Match Report,
,,,,,,,,,,,
15,Fri,2019-11-08,21:00 (14:00),Girona,1–0,Tenerife,7013,Estadi Municipal de Montilivi,Iosu Galech,Match Report,
15,Sat,2019-11-09,16:00 (09:00),Huesca,3–1,Oviedo,6156,Estadio El Alcoraz,Luis Milla,Match Report,
15,Sat,2019-11-09,16:00 (09:00),CD Mirandés,2–0,Extremadura,2624,Estadio Municipal de Anduva,Álvaro Moreno,Match Report,
15,Sat,2019-11-09,18:00 (11:00),Albacete,0–1,Lugo,7909,Estadio Carlos Belmonte,Iñaki Bikandi,Match Report,
15,Sat,2019-11-09,18:00 (11:00),Sporting Gijón,0–1,Numancia,14946,Estadio Municipal El Molinón,Alejandro Muñíz,Match Report,
15,Sat,2019-11-09,19:00 (13:00),Las Palmas,1–1,Alcorcón,8891,Estadio de Gran Canaria,Daniel Ocón,Match Report,
15,Sun,2019-11-10,12:00 (05:00),La Coruña,1–3,Elche,11565,Estadio Municipal de Riazor,Isidro Díaz de Mera,Match Report,
15,Sun,2019-11-10,16:00 (09:00),Almería,1–1,Zaragoza,10403,Estadio de los Juegos Mediterráneos,Rubén Ávalos,Match Report,
15,Sun,2019-11-10,18:00 (11:00),Málaga,0–0,Fuenlabrada,15521,Estadio La Rosaleda,Juan Pulido,Match Report,
15,Sun,2019-11-10,18:00 (11:00),Santander,2–2,Ponferradina,11732,Campos de Sport de El Sardinero,Víctor Areces,Match Report,
15,Sun,2019-11-10,21:00 (14:00),Rayo Vallecano,1–1,Cádiz,9700,Estadio del Rayo Vallecano,Javier Villanueva,Match Report,
,,,,,,,,,,,
16,Sat,2019-11-16,13:00 (06:00),Fuenlabrada,3–2,Huesca,4833,Estadio Fernando Torres,José López,Match Report,
16,Sat,2019-11-16,16:00 (09:00),Extremadura,2–0,La Coruña,6869,Estadio Francisco de la Hera,Daniel Trujillo,Match Report,
16,Sat,2019-11-16,18:30 (11:30),Numancia,2–2,Rayo Vallecano,3832,Nuevo Estadio Los Pajaritos,Jorge Figueroa,Match Report,
16,Sat,2019-11-16,18:30 (11:30),Elche,1–1,Almería,9691,Estadio Manuel Martínez Valero,Oliver De La Fuente,Match Report,
16,Sat,2019-11-16,21:00 (14:00),Zaragoza,0–1,Albacete,19898,Estadio de la Romareda,Saúl Ais,Match Report,
16,Sun,2019-11-17,12:00 (05:00),Ponferradina,1–1,Girona,5904,Estadio El Toralín,Jon González,Match Report,
16,Sun,2019-11-17,14:00 (07:00),Alcorcón,1–0,Málaga,2535,Estadio Santo Domingo,Javier Villanueva,Match Report,
16,Sun,2019-11-17,16:00 (09:00),Oviedo,0–0,Sporting Gijón,20448,Estadio Nuevo Carlos Tartiere,Aitor Gorostegui,Match Report,
16,Sun,2019-11-17,18:30 (11:30),Lugo,1–1,Santander,3140,Estadio Anxo Carro,Gorka Sagues,Match Report,
16,Sun,2019-11-17,18:30 (11:30),CD Mirandés,2–1,Las Palmas,2801,Estadio Municipal de Anduva,Miguel Ángel Ortiz Arias,Match Report,
16,Sun,2019-11-17,20:00 (14:00),Tenerife,1–1,Cádiz,9860,Estadio Heliodoro Rodríguez Lopéz,Dámaso Arcediano,Match Report,
,,,,,,,,,,,
17,Fri,2019-11-22,21:00 (14:00),Sporting Gijón,0–2,Tenerife,14426,Estadio Municipal El Molinón,Rubén Ávalos,Match Report,
