Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
16,Fri,2019-12-06,18:30 (11:30),Arminia,2–2,Karlsruher,20426,SchücoArena Kunstrasenplatz,Martin Petersen,Match Report,
16,Fri,2019-12-06,18:30 (11:30),Hamburger SV,0–1,Heidenheim,42190,Volksparkstadion,Felix Brych,Match Report,
16,Sat,2019-12-07,13:00 (06:00),Holstein Kiel,2–4,Osnabrück,11920,Holstein-Stadion,Alexander Sather,Match Report,
16,Sat,2019-12-07,13:00 (06:00),Greuther Fürth,3–1,Bochum,8875,Sportpark Ronhof Thomas Sommer,Nicolas Winter,Match Report,
16,Sat,2019-12-07,13:00 (06:00),Hannover 96,3–2,Erzgebirge Aue,26200,HDI-Arena,Michael Bacher,Match Report,
16,Sun,2019-12-08,13:30 (06:30),Jahn R'burg,1–0,St. Pauli,15026,Continental Arena,Sven Waschitzki,Match Report,
16,Sun,2019-12-08,13:30 (06:30),Wehen,0–0,Darmstadt 98,8034,BRITA-Arena,Matthias Jöllenbeck,Match Report,
16,Sun,2019-12-08,13:30 (06:30),Dynamo Dres,1–1,Sandhausen,26019,DDV-Stadion,Benjamin Cortus,Match Report,
16,Mon,2019-12-09,20:30 (13:30),Stuttgart,3–1,Nürnberg,48971,Mercedes-Benz Arena,Robert Schröder,Match Report,
,,,,,,,,,,,
17,Fri,2019-12-13,18:30 (11:30),Erzgebirge Aue,1–0,Jahn R'burg,8300,Sparkassen-Erzgebirgsstadion,Johann Pfeifer,Match Report,
17,Fri,2019-12-13,18:30 (11:30),Bochum,2–1,Hannover 96,16519,Vonovia Ruhrstadion,Florian Badstübner,Match Report,
17,Sat,2019-12-14,13:00 (06:00),Heidenheim,0–0,Arminia,11200,Voith-Arena,Tobias Stieler,Match Report,
17,Sat,2019-12-14,13:00 (06:00),St. Pauli,3–1,Wehen,29211,Millerntor-Stadion,Robert Kempter,Match Report,
17,Sat,2019-12-14,13:00 (06:00),Karlsruher,1–5,Greuther Fürth,12750,Wildparkstadion,Sören Storks,Match Report,
17,Sun,2019-12-15,13:30 (06:30),Nürnberg,2–2,Holstein Kiel,25275,Max-Morlock-Stadion,Timo Gerach,Match Report,
17,Sun,2019-12-15,13:30 (06:30),Sandhausen,1–1,Hamburger SV,12958,Hardtwaldstadion,Deniz Aytekin,Match Report,
17,Sun,2019-12-15,13:30 (06:30),Osnabrück,3–0,Dynamo Dres,15352,Stadion an der Bremer Brücke,René Rohde,Match Report,
17,Mon,2019-12-16,20:30 (13:30),Darmstadt 98,1–1,Stuttgart,14875,Jonathan-Heimes-Stadion am Böllenfalltor,Patrick Ittrich,Match Report,
,,,,,,,,,,,
18,Fri,2019-12-20,18:30 (11:30),Nürnberg,2–0,Dynamo Dres,29741,Max-Morlock-Stadion,Matthias Jöllenbeck,Match Report,
18,Fri,2019-12-20,18:30 (11:30),Karlsruher,0–1,Wehen,12693,Wildparkstadion,Robert Hartmann,Match Report,
