Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
,,,,,,,,,,,,,
16,Sat,2019-12-14,15:00 (08:00),Brescia,3.8,3–0,1.0,Lecce,13131,Stadio Mario Rigamonti,Massimiliano Irrati,Match Report,
16,Sat,2019-12-14,18:30 (11:30),Napoli,2.7,1–2,1.4,Parma,25000,Stadio San Paolo,Marco Di Bello,Match Report,
16,Sat,2019-12-14,20:45 (13:45),Genoa,0.5,0–1,0.6,Sampdoria,30658,Stadio Comunale Luigi Ferraris,Daniele Doveri,Match Report,
16,Sun,2019-12-15,12:30 (05:30),Hellas Verona,2.2,3–3,1.4,Torino,14612,Stadio Marc'Antonio Bentegodi,Federico La Penna,Match Report,
16,Sun,2019-12-15,15:00 (08:00),Juventus,1.9,3–1,1.3,Udinese,39127,Allianz Stadium,Fabrizio Pasqua,Match Report,
16,Sun,2019-12-15,15:00 (08:00),Bologna,1.4,2–1,2.0,Atalanta,21277,Stadio Renato Dall'Ara,Davide Massa,Match Report,
16,Sun,2019-12-15,15:00 (08:00),Milan,2.2,0–0,1.0,Sassuolo,58005,Stadio Giuseppe Meazza,Gianluca Manganiello,Match Report,
16,Sun,2019-12-15,18:00 (11:00),Roma,3.1,3–1,1.1,SPAL,34761,Stadio Olimpico,Antonio Giua,Match Report,
16,Sun,2019-12-15,20:45 (13:45),Fiorentina,0.7,1–1,0.6,Inter,37537,Stadio Artemio Franchi,Maurizio Mariani,Match Report,
16,Mon,2019-12-16,20:45 (13:45),Cagliari,1.5,1–2,1.4,Lazio,16299,Sardegna Arena,Fabio Maresca,Match Report,
,,,,,,,,,,,,,
17,Wed,2019-12-18,18:55 (11:55),Sampdoria,0.7,1–2,0.8,Juventus,23136,Stadio Comunale Luigi Ferraris,Gianluca Rocchi,Match Report,
,,,,,,,,,,,,,
7,Wed,2019-12-18,20:45 (13:45),Brescia,2.0,0–2,0.5,Sassuolo,14574,Stadio Mario Rigamonti,Marco Di Bello,Match Report,
,,,,,,,,,,,,,
17,Fri,2019-12-20,20:45 (13:45),Fiorentina,1.7,1–4,1.4,Roma,3305,Stadio Artemio Franchi,Daniele Orsato,Match Report,
17,Sat,2019-12-21,15:00 (08:00),Udinese,1.4,2–1,0.9,Cagliari,19822,Dacia Arena,Marco Piccinini,Match Report,
17,Sat,2019-12-21,18:00 (11:00),Inter,2.5,4–0,0.5,Genoa,57490,Stadio Giuseppe Meazza,Luca Pairetto,Match Report,
17,Sat,2019-12-21,20:45 (13:45),Torino,1.2,1–2,1.1,SPAL,18553,Stadio Olimpico di Torino,Michael Fabbri,Match Report,
17,Sun,2019-12-22,12:30 (05:30),Atalanta,3.1,5–0,0.3,Milan,20940,Stadio Atleti Azzurri d'Italia,Federico La Penna,Match Report,
17,Sun,2019-12-22,15:00 (08:00),Lecce,1.0,2–3,3.4,Bologna,24178,Stadio Comunale Via Del Mare,Rosario Abisso,Match Report,
17,Sun,2019-12-22,15:00 (08:00),Parma,1.4,1–1,2.4,Brescia,16686,Stadio Ennio Tardini,Francesco Fourneau,Match Report,
17,Sun,2019-12-22,20:45 (13:45),Sassuolo,1.2,1–2,1.5,Napoli,12570,Mapei Stadium - Città del Tricolore,Daniele Chiffi,Match Report,
,,,,,,,,,,,,,
18,Sun,2020-01-05,12:30 (05:30),Brescia,0.5,1–2,1.9,Lazio,14370,Stadio Mario Rigamonti,Gianluca Manganiello,Match Report,
18,Sun,2020-01-05,15:00 (08:00),SPAL,1.4,0–2,2.2,Hellas Verona,14078,Stadio Paolo Mazza,Marco Guida,Match Report,
18,Sun,2020-01-05,18:00 (11:00),Genoa,3.2,2–1,0.6,Sassuolo,21033,Stadio Comunale Luigi Ferraris,Massimiliano Irrati,Match Report,
18,Sun,2020-01-05,20:45 (13:45),Roma,2.1,0–2,2.0,Torino,38954,Stadio Olimpico,Marco Di Bello,Match Report,
18,Mon,2020-01-06,12:30 (05:30),Bologna,0.9,1–1,0.7,Fiorentina,22653,Stadio Renato Dall'Ara,Paolo Valeri,Match Report,
18,Mon,2020-01-06,15:00 (08:00),Milan,1.6,0–0,1.4,Sampdoria,58572,Stadio Giuseppe Meazza,Davide Massa,Match Report,
